;PC1;PC2;PC3;labels;markers;Family;Colors
0;-4.693242;-2.7902281;-0.48932624;6HIO_chain_A;circle;5HT3R;rgb(239, 255, 0)
1;-4.693881;-2.790376;-0.48838314;6HIO_chain_B;circle;5HT3R;rgb(239, 255, 0)
2;-4.69434;-2.7907865;-0.49005756;6HIO_chain_C;circle;5HT3R;rgb(239, 255, 0)
3;-4.6936574;-2.7904398;-0.49036583;6HIO_chain_D;circle;5HT3R;rgb(239, 255, 0)
4;-4.6952405;-2.7895718;-0.48945448;6HIO_chain_E;circle;5HT3R;rgb(239, 255, 0)
5;-3.8958268;-2.9263377;0.85068643;6HIQ_chain_A;circle;5HT3R;rgb(239, 255, 0)
6;-3.8944423;-2.9261727;0.85111713;6HIQ_chain_B;circle;5HT3R;rgb(239, 255, 0)
7;-3.8953135;-2.926425;0.8525628;6HIQ_chain_C;circle;5HT3R;rgb(239, 255, 0)
8;-3.8947623;-2.9261332;0.85079044;6HIQ_chain_D;circle;5HT3R;rgb(239, 255, 0)
9;-3.8967266;-2.925249;0.85150963;6HIQ_chain_E;circle;5HT3R;rgb(239, 255, 0)
10;11.777815;-3.6140435;3.48191;6HIN_chain_A;circle;5HT3R;rgb(239, 255, 0)
11;11.779736;-3.6152217;3.4823534;6HIN_chain_B;circle;5HT3R;rgb(239, 255, 0)
12;11.778403;-3.6140537;3.4828644;6HIN_chain_C;circle;5HT3R;rgb(239, 255, 0)
13;11.778287;-3.6145954;3.483;6HIN_chain_D;circle;5HT3R;rgb(239, 255, 0)
14;11.777324;-3.615215;3.4832397;6HIN_chain_E;circle;5HT3R;rgb(239, 255, 0)
15;-4.1884685;-5.050923;0.83076197;6HIS_chain_A;circle;5HT3R;rgb(239, 255, 0)
16;-4.1894107;-5.0514393;0.8321181;6HIS_chain_B;circle;5HT3R;rgb(239, 255, 0)
17;-4.1914864;-5.049265;0.83212525;6HIS_chain_C;circle;5HT3R;rgb(239, 255, 0)
18;-4.188888;-5.049855;0.8304114;6HIS_chain_D;circle;5HT3R;rgb(239, 255, 0)
19;-4.191555;-5.0507736;0.8315731;6HIS_chain_E;circle;5HT3R;rgb(239, 255, 0)
20;-4.626737;-1.9641999;1.5973629;6NP0_chain_A;circle;5HT3R;rgb(239, 255, 0)
21;-4.6266255;-1.965609;1.5972738;6NP0_chain_B;circle;5HT3R;rgb(239, 255, 0)
22;-4.626601;-1.9648472;1.5984483;6NP0_chain_C;circle;5HT3R;rgb(239, 255, 0)
23;-4.627501;-1.9630221;1.5968621;6NP0_chain_D;circle;5HT3R;rgb(239, 255, 0)
24;-4.6259294;-1.9649451;1.596763;6NP0_chain_E;circle;5HT3R;rgb(239, 255, 0)
25;15.968229;-2.6339157;1.229989;6Y5B_chain_A;circle;5HT3R;rgb(239, 255, 0)
26;19.304716;-1.290846;0.5581092;6Y5B_chain_B;circle;5HT3R;rgb(239, 255, 0)
27;19.575073;-0.6390573;0.12771925;6Y5B_chain_C;circle;5HT3R;rgb(239, 255, 0)
28;19.64289;-0.20121293;0.45918757;6Y5B_chain_D;circle;5HT3R;rgb(239, 255, 0)
29;16.536657;-0.5386637;1.3640398;6Y5B_chain_E;circle;5HT3R;rgb(239, 255, 0)
30;21.867332;-4.8896194;-1.6751356;6Y5A_chain_A;circle;5HT3R;rgb(239, 255, 0)
31;20.990948;-4.3431096;0.30277416;6Y5A_chain_B;circle;5HT3R;rgb(239, 255, 0)
32;21.653055;-4.713648;0.07440694;6Y5A_chain_C;circle;5HT3R;rgb(239, 255, 0)
33;19.509724;-2.9372663;-0.3515049;6Y5A_chain_D;circle;5HT3R;rgb(239, 255, 0)
34;19.683037;-2.199114;1.2664281;6Y5A_chain_E;circle;5HT3R;rgb(239, 255, 0)
35;16.79743;-2.0730968;-1.113295;6Y59_chain_A;circle;5HT3R;rgb(239, 255, 0)
36;16.798212;-2.0725446;-1.1128708;6Y59_chain_B;circle;5HT3R;rgb(239, 255, 0)
37;16.795935;-2.07168;-1.112292;6Y59_chain_C;circle;5HT3R;rgb(239, 255, 0)
38;16.797367;-2.0737658;-1.1142082;6Y59_chain_D;circle;5HT3R;rgb(239, 255, 0)
39;16.79619;-2.0714679;-1.1128432;6Y59_chain_E;circle;5HT3R;rgb(239, 255, 0)
40;-4.933115;-2.9216077;1.1106102;6Y1Z_chain_A;circle;5HT3R;rgb(239, 255, 0)
41;-4.934399;-2.9215899;1.1101797;6Y1Z_chain_B;circle;5HT3R;rgb(239, 255, 0)
42;-4.93437;-2.9214406;1.1102667;6Y1Z_chain_C;circle;5HT3R;rgb(239, 255, 0)
43;-4.9333224;-2.9227624;1.1091123;6Y1Z_chain_D;circle;5HT3R;rgb(239, 255, 0)
44;-4.9342318;-2.9224386;1.1106198;6Y1Z_chain_E;circle;5HT3R;rgb(239, 255, 0)
45;9.044669;-2.455459;0.07352811;6DG8_chain_A;circle;5HT3R;rgb(239, 255, 0)
46;9.045524;-2.454599;0.07300364;6DG8_chain_B;circle;5HT3R;rgb(239, 255, 0)
47;9.044944;-2.4545853;0.07275219;6DG8_chain_C;circle;5HT3R;rgb(239, 255, 0)
48;9.045851;-2.4549003;0.072746955;6DG8_chain_D;circle;5HT3R;rgb(239, 255, 0)
49;9.042967;-2.4554133;0.07260593;6DG8_chain_E;circle;5HT3R;rgb(239, 255, 0)
50;-5.9583254;-5.1764374;-0.08120642;6DG7_chain_A;circle;5HT3R;rgb(239, 255, 0)
51;-5.958036;-5.1756306;-0.08093848;6DG7_chain_B;circle;5HT3R;rgb(239, 255, 0)
52;-5.957985;-5.175499;-0.07987698;6DG7_chain_C;circle;5HT3R;rgb(239, 255, 0)
53;-5.957283;-5.1761794;-0.08167559;6DG7_chain_D;circle;5HT3R;rgb(239, 255, 0)
54;-5.9556837;-5.176468;-0.07962309;6DG7_chain_E;circle;5HT3R;rgb(239, 255, 0)
55;-1.9865456;-6.114804;-2.5429652;6BE1_chain_A;circle;5HT3R;rgb(239, 255, 0)
56;-3.186679;-5.374302;-1.7538476;6BE1_chain_B;circle;5HT3R;rgb(239, 255, 0)
57;-3.1060183;-4.5907416;-1.8289418;6BE1_chain_C;circle;5HT3R;rgb(239, 255, 0)
58;-3.242619;-6.1338363;-1.3016969;6BE1_chain_D;circle;5HT3R;rgb(239, 255, 0)
59;-2.5119252;-5.442693;-1.7168792;6BE1_chain_E;circle;5HT3R;rgb(239, 255, 0)
60;-3.2869995;-3.4021835;1.1766473;6W1Y_chain_A;circle;5HT3R;rgb(239, 255, 0)
61;-3.2874873;-3.4009497;1.1775116;6W1Y_chain_B;circle;5HT3R;rgb(239, 255, 0)
62;-3.286353;-3.4009762;1.1762974;6W1Y_chain_C;circle;5HT3R;rgb(239, 255, 0)
63;-3.2874286;-3.4006917;1.1757138;6W1Y_chain_D;circle;5HT3R;rgb(239, 255, 0)
64;-3.286537;-3.4016635;1.1758744;6W1Y_chain_E;circle;5HT3R;rgb(239, 255, 0)
65;-4.2477922;-5.1677;1.7062112;6W1J_chain_A;circle;5HT3R;rgb(239, 255, 0)
